spkid,full_name,pdes,a,e,i,w,om,ma,per,q,ad,H,diameter,albedo,rot_per,class,neo,pha
20188845,188845 (2006 DK189),188845,5.317404160755201,0.06026273942174558,12.13452345294699,188.9454591437814,170.5278652299472,28.53285162957543,4478.658344531951,4.996962819415505,5.637845502094898,13.29,11.045,0.076,,TJN,N,N
20188846,188846 (2006 EV25),188846,5.1739744831781,0.01469338096107288,11.27607883669488,123.2139696834484,159.3903375308483,105.6290375857207,4298.677365986421,5.097951305013894,5.249997661342307,13.32,,,,TJN,N,N
20188847,188847 Rhipeus (2006 FT9),188847,5.17701667388038,0.06234905176631868,7.101942607359605,265.7403102015413,232.8294824890508,238.7480973214074,4302.469224202726,4.854234593285518,5.499798754475243,13.86,,,,TJN,N,N
20188942,188942 (2007 DD8),188942,5.219078774970636,0.1229670574494415,19.01229144948951,140.6259837366994,167.8964437894924,71.88065621122607,4355.010484242644,4.577304015415661,5.860853534525611,12.97,13.761,0.065,,TJN,N,N
20188952,188952 (2007 EA73),188952,5.180026500378403,0.02528106864012076,13.74321632481193,4.454693691849039,179.4512740508881,194.9305004633087,4306.221839470766,5.049069894864692,5.310983105892115,13.19,,,,TJN,N,N
20188965,188965 (2007 YY56),188965,5.208197397660148,0.1291544257578826,19.47736066569044,197.4615204652582,77.67075091610192,114.6187659415211,4341.397793563045,4.535535653531653,5.880859141788642,12.55,,,,TJN,N,N
20188966,188966 (2008 AQ101),188966,5.207114350794603,0.06867158020881153,12.89863648200299,195.0887861215571,95.13272206704686,95.26626096073568,4340.043670688331,4.849533579997558,5.564695121591648,12.8,16.875,0.052,,TJN,N,N
20188976,188976 (2008 EP68),188976,5.247555883379586,0.07806654875655199,30.52432568711703,194.461128084894,128.4136568656859,81.35871698941709,4390.702738273487,4.837897306157002,5.657214460602169,12.43,18.009,0.065,,TJN,N,N
20188986,188986 (2008 FY88),188986,5.1828485351913,0.04301368501652587,4.653587545923012,108.3070062765917,68.43545302090178,203.5122603974698,4309.741308795101,4.959915120810218,5.405781949572382,13.74,,,,TJN,N,N
20189004,189004 Capys (3184 T-3),189004,5.174989638186627,0.1458527299808108,17.11441721488413,334.9604105619007,27.6415574685876,12.55099653471283,4299.942555227888,4.4202032718347,5.929776004538555,13.55,,,,TJN,N,N
20189214,189214 (2003 YJ20),189214,5.281075245674426,0.03472825059977643,18.7218222258079,290.1094480684723,103.8610552153034,358.423982518973,4432.839019845532,5.097672741106368,5.464477750242483,13.19,,,,TJN,N,N
20189215,189215 (2003 YF162),189215,5.185734089764806,0.04795184775122547,22.31133156133208,24.252477378054,71.65121562270514,300.3236322645541,4313.340986974848,4.937068558214064,5.434399621315548,13.2,14.716,0.051,,TJN,N,N
20189310,189310 Polydamas (2006 AJ82),189310,5.275617904025148,0.07427983293861798,10.51704810676564,45.24253735136043,197.37428638111,150.3561366064737,4425.969604508774,4.883745887466178,5.667489920584118,13.02,,,,TJN,N,N
20189377,189377 (2008 FU78),189377,5.17338199213847,0.00613301566865477,9.287268939535023,95.99159935549172,195.0852888140382,60.81576640013616,4297.939000853208,5.141653559320749,5.205110424956191,13.24,12.831,0.062,,TJN,N,N
20189386,189386 (2008 GX49),189386,5.14490953151367,0.04610979519955946,12.53019231099821,258.8729772793979,55.42715014084316,75.38859775895226,4262.506366033478,4.907678806695313,5.382140256332026,12.86,14.076,0.068,,TJN,N,N
20189493,189493 (1999 XL257),189493,5.192544163859234,0.08820387704212732,11.52144284685518,182.4972233102316,281.1935640278739,28.50650479523208,4321.840404668493,4.734541636894379,5.650546690824091,12.12,,,,TJN,N,N
20189616,189616 (2001 BQ17),189616,5.104917825690491,0.09591856994099716,4.340627861210011,122.6439601584196,341.0235340381395,40.83083969382553,4212.903974404232,4.615261408183954,5.594574243197028,13.25,,,,TJN,N,N
